Name,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Butler,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,Ind,None,Ind,IIAA,IIAA,IIAA,IIAA,IIAA,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,ICAL,None,Ind,Ind,Ind,Ind,Ind,IIC,IIC,Ind
Albion,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,Ind,Ind,Ind,None,None,None,None,None,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,None,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA
Denver,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,CIAC,None,None,CIAC,CIAC,CIAC,None,None,Ind,None,None,None,CIAC,CIAC,CIAC,None,CIAC,CIAC,CIAC,Ind,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC,RMAC
DePauw,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,IIAA,None,None,None,Ind,Ind,None,None,None,None,Ind,Ind,Ind,None,None,None,None,None,None,None,None,None,None,ICAL,None,None,None,None,Ind,Ind,IIC,IIC,None
Olivet,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,None,None,None,None,None,None,None,None,None,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,None,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA,MIAA
Lehigh,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind
Cincinnati,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC,OAC
California,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,None,None,None,None,None,None,None,None,Ind,PAC-12,PAC-12,PAC-12,PAC-12,PAC-12,PAC-12,PAC-12,PAC-12,PAC-12,PAC-12
Vermont,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind,None,Ind,Ind,Ind,Ind,Ind,Ind,Ind,Ind
Trinity,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,NEIFA,Ind,None,None,None,None,None,Ind,Ind,None,Ind,None,None,None,None,None,None,None,None,None,None,None,Ind,Ind,Ind,None,None,None,None,None,None,None,None,None,None,None,None,None,None
